address,name,website,description,logo,twitter,numStakers,ethTvl,eigenTvl
0xdbed88d83176316fc46797b43adee927dc2ff2f5,P2P.org [all AVS],https://p2p.org/,"Forget FOMO with P2P.org. Delegate and be sure we onboard all possible AVS and share any airdrops with delegators.  Each AVS will be thoroughly evaluated before slashing is enabled, projected for Q3. P2P.org is a global leader with $7.5 billion and over 90,000 delegators across 40+ networks.",https://prod-usea1-mainnet-operator-metadata.s3.amazonaws.com/0xdbed88d83176316fc46797b43adee927dc2ff2f5/logo.png,https://x.com/P2Pvalidator,7192,367695.95106062293,6850876.454418556
0x7e3cede5c77cd4192d206c652db0023a89d7e5ec,Eigenpie by P2P.org,https://p2p.org/,Eigenpie's Eigenlayer Operator operated by P2P.org. Leading Institutional Staking and RPC Node provider.,https://prod-usea1-mainnet-operator-metadata.s3.amazonaws.com/0x7e3cede5c77cd4192d206c652db0023a89d7e5ec/logo.png,https://x.com/P2Pvalidator,6780,275548.2753653962,5341481.121181548
0x865cae37b4f44e73ea1e79577c5bfc6207c98f16,Renzo Operated By P2P.org,https://p2p.org/,Renzo's Eigenlayer Operator operated by P2P.org. Leading Institutional Staking and RPC Node provider.,https://prod-usea1-mainnet-operator-metadata.s3.amazonaws.com/0x865cae37b4f44e73ea1e79577c5bfc6207c98f16/logo.png,https://x.com/P2Pvalidator,2,269271.2165403306,0.0
0x5cd6fdfad710609c828feba2508bcaf89e80501a,Renzo Operated By Luganodes,https://www.renzoprotocol.com/,"Renzo's Eigenlayer Operator, powered by Luganodes",https://prod-usea1-mainnet-operator-metadata.s3.amazonaws.com/0x5cd6fdfad710609c828feba2508bcaf89e80501a/logo.png,https://twitter.com/RenzoProtocol,2,269226.79564610886,0.0
0xdfcb21ac9b99de986d99f4ce5fce2a6542efe3a1,Renzo Operated by Figment,https://renzoprotocol.com,"Renzo's Eigenlayer Operator, powered by Figment",https://prod-usea1-mainnet-operator-metadata.s3.amazonaws.com/0xdfcb21ac9b99de986d99f4ce5fce2a6542efe3a1/logo.png,https://twitter.com/RenzoProtocol,2,269088.0,0.0
0xfb487f216ca24162119c0c6ae015d680d7569c2f,ether.fi-1 - Pier Two,https://ether.fi,"Seamless Staking Effortless Earnings, Operated by Pier Two. Australian based enterprise grade infrastructure for institutional clients. Non custodial ETH Staking. Secure Node and Validation Services. Creating the light client Lantern (C Sharp).",https://prod-usea1-mainnet-operator-metadata.s3.amazonaws.com/0xfb487f216ca24162119c0c6ae015d680d7569c2f/logo.png,https://x.com/ether_fi,4633,188191.91410041845,292666.97928211896
0x5b9b3cf0202a1a3dc8f527257b7e6002d23d8c85,ether.fi-8 - DSRV,https://ether.fi,"Seamless Staking Effortless Earnings, Operated by DSRV. Distributed Served. https://dsrvlabs.com",https://prod-usea1-mainnet-operator-metadata.s3.amazonaws.com/0x5b9b3cf0202a1a3dc8f527257b7e6002d23d8c85/logo.png,https://x.com/ether_fi,8928,188151.0544966413,701322.6848640377
0x5dcdf02a7188257b7c37dd3158756da9ccd4a9cb,Renzo Operated by Pier Two,http://piertwo.com/,"Renzo's Eigenlayer Operator, powered by Pier Two.Australian based enterprise grade infrastructure for institutional clients. Non custodial ETH Staking. Secure Node and Validation Services. Creating the light client Lantern (C Sharp).",https://prod-usea1-mainnet-operator-metadata.s3.amazonaws.com/0x5dcdf02a7188257b7c37dd3158756da9ccd4a9cb/logo.png,https://twitter.com/piertwo_com,2,183623.13843292504,0.0
0x5accc90436492f24e6af278569691e2c942a676d,EigenYields,https://eigenyields.xyz,EigenYields aims to share airdrops with our delegators. Learn more: https://eigenyields.xyz & https://discord.gg/eigenyields,https://prod-usea1-mainnet-operator-metadata.s3.amazonaws.com/0x5accc90436492f24e6af278569691e2c942a676d/logo.png,https://x.com/EigenYields,17393,171982.56689644518,9679299.38980007
0x4bd479a34450d0cb1f5ef16a877bee47e1e4cdb9,ether.fi-2 - P2P.org,https://ether.fi,"Seamless Staking Effortless Earnings, Operated by P2P.org. Leading Institutional Staking and RPC Node provider.",https://prod-usea1-mainnet-operator-metadata.s3.amazonaws.com/0x4bd479a34450d0cb1f5ef16a877bee47e1e4cdb9/logo.png,https://x.com/ether_fi,1857,139268.659989755,111495.48375548879
